date,Close,High,Low,Open,Volume,return,direction,sentiment_mean,sentiment_std,headline_count,return_1d,return_3d,return_5d,volatility_5d,volume_change,sentiment_1d,sentiment_3d,sentiment_7d,sentiment_momentum
2025-02-12,23045.25,23144.69921875,22798.349609375,23050.80078125,279700,-0.0011507892904301,0,-0.08324803411960602,0.8235406061480416,12,-0.0132496849360461,-0.0075528190847176995,-0.00567805339018102,0.0048399150523326375,0.14432109308283514,-0.22951678559184074,-0.13565570940122462,-0.1992748835947165,-0.030241901997124232
2025-02-13,23031.400390625,23235.5,22992.19921875,23055.75,265700,-0.0006009745771905,0,-0.22839234272638956,0.7188902837765819,9,-0.0011507892904301,-0.007323502639594699,-0.0055463698358382595,0.004978467544879891,0.04365671641791047,-0.08324803411960602,-0.13601320315942622,-0.16950006211393345,0.08625202799432743
2025-02-14,22929.25,23133.69921875,22774.849609375,23096.44921875,254500,-0.0044352661537063,1,-0.040768837928771985,0.8082026717027949,15,-0.0006009745771905,-0.005000482934555566,-0.00488204422435474,0.005448720678558174,-0.05005362888809439,-0.22839234272638956,-0.18038572081261214,-0.19528154206122966,-0.033110800665159895
2025-02-17,22959.5,22974.19921875,22725.44921875,22809.900390625,207400,0.0013192755977626,0,-0.1488347709178925,0.9180413472739526,10,-0.0044352661537063,-0.0020623433404422993,-0.005401349729936179,0.0052044149231533715,-0.04215280391418896,-0.040768837928771985,-0.11746973825825587,-0.14072105899158274,0.09995222106281076
2025-02-18,22945.30078125,22992.5,22801.5,22963.650390625,210600,-0.0006184463402948,0,-0.12407638809897682,0.8575839395369733,11,0.0013192755977626,-0.0012389883777113994,-0.003623487871922079,0.0057663547737092395,-0.1850687622789784,-0.1488347709178925,-0.13933198385768467,-0.1297444448423334,-0.019090326075559078
2025-02-19,22932.900390625,23049.94921875,22814.849609375,22847.25,207000,-0.0005404326900405,0,-0.26239306651628935,0.736129098625573,13,-0.0006184463402948,-0.001244812298746166,-0.0010972401527718197,0.002089279570929466,0.015429122468659573,-0.12407638809897682,-0.10455999898188044,-0.1357302784500442,0.011653890351067384
2025-02-20,22913.150390625,22923.849609375,22812.75,22821.099609375,240800,-0.0008612081186238,0,-0.10022507695590749,0.8091697189985736,17,-0.0005404326900405,5.3465522475767265e-05,-0.0009751688326938996,0.002103153376866174,-0.017094017094017144,-0.26239306651628935,-0.1784347418443862,-0.159604317985681,-0.10278874853060835
2025-02-21,22795.900390625,22921.0,22720.30078125,22857.19921875,242800,-0.0051171487988824,0,0.0924997627735138,0.8703832949115468,10,-0.0008612081186238,-0.0006733623829863661,-0.0010272155409805596,0.0020947814868606585,0.16328502415458934,-0.10022507695590749,-0.16223151052372456,-0.1411340738948334,0.04090899693892591
2025-02-24,22553.349609375,22668.05078125,22518.80078125,22609.349609375,214300,-0.0106401053300685,0,-0.1993765580026727,0.7561339380946495,19,-0.0051171487988824,-0.0021729298691822324,-0.0011635920700157796,0.0023755099556521226,0.008305647840531671,0.0924997627735138,-0.09003946023289434,-0.11602724576724485,0.20852700854075865
2025-02-25,22547.55078125,22625.30078125,22513.900390625,22516.44921875,250300,-0.0002571160481895,0,0.3405105024576187,0.7519597107260138,12,-0.0106401053300685,-0.0055394874158582325,-0.003555468255582,0.004404727672469409,-0.11738056013179576,-0.1993765580026727,-0.06903395739502213,-0.11188213366385671,-0.08749442433881599
